# Altium Pin Report File,,,,,,,,,,,,,
TPD8S300ARUKR,,,,,,,,,,,,,
Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,,C_SBU1,,,,,,,,,,,
2,,C_SBU2,,,,,,,,,,,
3,,VBIAS,,,,,,,,,,,
4,,C_CC1,,,,,,,,,,,
5,,C_CC2,,,,,,,,,,,
6,,RPD_G2,,,,,,,,,,,
7,,RPD_G1,,,,,,,,,,,
8,,GND_1,,,,,,,,,,,
9,,F\L\T\,,,,,,,,,,,
10,+3V3,VPWR,,,,,,,,,,,
11,,CC2,,,,,,,,,,,
12,,CC1,,,,,,,,,,,
13,,GND_2,,,,,,,,,,,
14,NetIC?_14,SBU2,,,,,,,,,,,
15,NetIC?_15,SBU1,,,,,,,,,,,
16,,D4,,,,,,,,,,,
17,,D3,,,,,,,,,,,
18,,GND_3,,,,,,,,,,,
19,,D2,,,,,,,,,,,
20,,D1,,,,,,,,,,,
21,,EP,,,,,,,,,,,
,,,,,,,,,,,,,
USB4105-GF-A,,,,,,,,,,,,,
Pin Designator,Net Name,Display Name,,,,,,,,,,,
1,,MNT 1,,,,,,,,,,,
2,,MNT 2,,,,,,,,,,,
3,,MNT 3,,,,,,,,,,,
4,,MNT 4,,,,,,,,,,,
A1-B12,,GND,,,,,,,,,,,
A4-B9,,VBUS,,,,,,,,,,,
A5,,CC1,,,,,,,,,,,
A6,,Dp1,,,,,,,,,,,
A7,,Dn1,,,,,,,,,,,
A8,,SBU1,,,,,,,,,,,
B1-A12,,GND,,,,,,,,,,,
B4-A9,,VBUS,,,,,,,,,,,
B5,,CC2,,,,,,,,,,,
B6,,Dp2,,,,,,,,,,,
B7,,Dn2,,,,,,,,,,,
B8,,SBU2,,,,,,,,,,,
,,,,,,,,,,,,,
MP2637GRZ,,,,,,,,,,,,,
Pin Designator,Net Name,Display Name,,,,,,,,,,,
"1 ,23 ,24",GND,PGND,,,,,,,,,,,
2,Net*_2,C\H\G\,,,,,,,,,,,
3,Net*_3,B\O\O\S\T\,,,,,,,,,,,
4,Net*_4,CSP,,,,,,,,,,,
5,V_BATT,BATT,,,,,,,,,,,
6,GND,AGND,,,,,,,,,,,
7,Net*_7,OLIM,,,,,,,,,,,
8,Net*_8,ISET,,,,,,,,,,,
9,NTC,NTC,,,,,,,,,,,
10,FB,FB,,,,,,,,,,,
11,,A\C\O\K\,,,,,,,,,,,
12,Net*_12,REG,,,,,,,,,,,
13,GND,TMR,,,,,,,,,,,
14,Net*_14,PWIN,,,,,,,,,,,
15,Net*_15,ILIM,,,,,,,,,,,
16,VCC,VCC,,,,,,,,,,,
17,Net*_17,VB,,,,,,,,,,,
18,Net*_18,EN,,,,,,,,,,,
19,Net*_19,MODE,,,,,,,,,,,
20,VIN,VIN,,,,,,,,,,,
21,SYS,SYS,,,,,,,,,,,
22,SYS,SYS,,,,,,,,,,,
22,SW,SW,,,,,,,,,,,
